Brand of Kellogg’s cerea,Shelf position,Rating
Corn_Flakes,bottom,45.8633
Frosted_Flakes,bottom,31.436
Rice_Krispies,bottom,40.5602
Special_K,bottom,43.1313
Apple_Jacks,middle,33.1741
Corn_Pops,middle,35.7828
Froot_Loops,middle,32.2076
Frosted_Mini-Wheats,middle,38.3451
Nut&Honey_Crunch,middle,29.9243
Raisin_Bran,middle,29.2592
Smacks,middle,31.2301
All-Bran,top,59.4255
All-Bran_with_Extra_Fiber,top,93.7049
Cracklin'_Oat_Bran,top,40.4488
Crispix,top,46.8956
Fruitful_Bran,top,41.0155
Just_Right_Crunchy__Nuggets,top,46.5237
Just_Right_Fruit_&_Nut,top,46.4715
Mueslix_Crispy_Blend,top,40.3134
Nutri-Grain_Almond-Raisin,top,40.6923
Nutri-grain_Wheat,top,59.6428
Product_19,top,41.5035
Raisin_Squares,top,55.3331
